# Number of nodes=5863; Number of edges=33322; Number of node features=5; Model: phgcn.
     epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
Test:        101    0.90883        909        231          8         25      0.098      0.758      0.796      0.777      0.815 
Train:        101    0.90883       3719        839         33         99      0.106      0.750      0.814      0.783      0.872 
All:        101    0.90883       4649       1049         41        124      0.106      0.752      0.814      0.784      0.861 
Test:        102    0.89592        908        232          9         24      0.094      0.727      0.795      0.762      0.814 
Train:        102    0.89592       3719        839         33         99      0.106      0.750      0.814      0.783      0.873 
All:        102    0.89592       4648       1050         42        123      0.105      0.745      0.814      0.781      0.861 
Test:        103    0.91153        911        229          9         24      0.095      0.727      0.797      0.763      0.813 
Train:        103    0.91153       3721        837         31        101      0.108      0.765      0.815      0.791      0.873 
All:        103    0.91153       4648       1050         42        123      0.105      0.745      0.814      0.781      0.861 
Test:        104    0.87577        910        230          9         24      0.094      0.727      0.796      0.763      0.813 
Train:        104    0.87577       3720        838         32        100      0.107      0.758      0.814      0.787      0.872 
All:        104    0.87577       4647       1051         43        122      0.104      0.739      0.813      0.777      0.860 
Test:        105    0.88431        910        230          9         24      0.094      0.727      0.796      0.763      0.813 
Train:        105    0.88431       3720        838         32        100      0.107      0.758      0.814      0.787      0.872 
All:        105    0.88431       4648       1050         42        123      0.105      0.745      0.814      0.781      0.860 
Test:        106    0.89111        912        228          9         24      0.095      0.727      0.798      0.764      0.813 
Train:        106    0.89111       3720        838         32        100      0.107      0.758      0.814      0.787      0.872 
All:        106    0.89111       4648       1050         42        123      0.105      0.745      0.814      0.781      0.860 
Test:        107    0.89465        912        228          9         24      0.095      0.727      0.798      0.764      0.813 
Train:        107    0.89465       3720        838         32        100      0.107      0.758      0.814      0.787      0.873 
All:        107    0.89465       4649       1049         41        124      0.106      0.752      0.814      0.784      0.861 
Test:        108     0.9123        912        228          8         25      0.099      0.758      0.799      0.779      0.815 
Train:        108     0.9123       3720        838         32        100      0.107      0.758      0.814      0.787      0.873 
All:        108     0.9123       4650       1048         40        125      0.107      0.758      0.814      0.787      0.861 
Test:        109    0.91973        912        228          8         25      0.099      0.758      0.799      0.779      0.817 
Train:        109    0.91973       3721        837         31        101      0.108      0.765      0.815      0.791      0.872 
All:        109    0.91973       4650       1048         40        125      0.107      0.758      0.814      0.787      0.861 
Test:        110    0.90198        911        229          8         25      0.098      0.758      0.798      0.778      0.818 
Train:        110    0.90198       3721        837         31        101      0.108      0.765      0.815      0.791      0.873 
All:        110    0.90198       4650       1048         40        125      0.107      0.758      0.814      0.787      0.862 
Test:        111    0.87853        908        232          8         25      0.097      0.758      0.795      0.777      0.818 
Train:        111    0.87853       3721        837         31        101      0.108      0.765      0.815      0.791      0.873 
All:        111    0.87853       4650       1048         40        125      0.107      0.758      0.814      0.787      0.862 
Test:        112    0.88713        909        231          8         25      0.098      0.758      0.796      0.777      0.818 
Train:        112    0.88713       3721        837         31        101      0.108      0.765      0.815      0.791      0.874 
All:        112    0.88713       4649       1049         41        124      0.106      0.752      0.814      0.784      0.862 
Test:        113    0.88412        908        232          8         25      0.097      0.758      0.795      0.777      0.817 
