# Number of nodes=5863; Number of edges=33322; Number of node features=5; Model: sage.
     epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
Test:         46     1.1527        927        213          6         27      0.113      0.818      0.813      0.816      0.881 
Train:         46     1.1527       3709        849         43         89      0.095      0.674      0.810      0.744      0.835 
All:         46     1.1527       4641       1057         49        116      0.099      0.703      0.811      0.759      0.845 
Test:         47     1.1607        925        215          6         27      0.112      0.818      0.812      0.815      0.882 
Train:         47     1.1607       3709        849         43         89      0.095      0.674      0.810      0.744      0.836 
All:         47     1.1607       4641       1057         49        116      0.099      0.703      0.811      0.759      0.846 
Test:         48     1.1298        922        218          6         27      0.110      0.818      0.809      0.813      0.882 
Train:         48     1.1298       3710        848         42         90      0.096      0.682      0.810      0.748      0.837 
All:         48     1.1298       4642       1056         48        117      0.100      0.709      0.812      0.762      0.846 
Test:         49     1.1011        925        215          6         27      0.112      0.818      0.812      0.815      0.882 
Train:         49     1.1011       3710        848         42         90      0.096      0.682      0.810      0.748      0.837 
All:         49     1.1011       4642       1056         48        117      0.100      0.709      0.812      0.762      0.846 
Test:         50     1.1409        922        218          5         28      0.114      0.848      0.810      0.829      0.883 
Train:         50     1.1409       3711        847         41         91      0.097      0.689      0.811      0.752      0.838 
All:         50     1.1409       4644       1054         46        119      0.101      0.721      0.812      0.768      0.847 
Test:         51      1.115        925        215          5         28      0.115      0.848      0.812      0.830      0.882 
Train:         51      1.115       3712        846         40         92      0.098      0.697      0.811      0.756      0.839 
All:         51      1.115       4645       1053         45        120      0.102      0.727      0.813      0.771      0.848 
Test:         52     1.1111        922        218          5         28      0.114      0.848      0.810      0.829      0.882 
Train:         52     1.1111       3712        846         40         92      0.098      0.697      0.811      0.756      0.840 
All:         52     1.1111       4645       1053         45        120      0.102      0.727      0.813      0.771      0.849 
Test:         53     1.1077        920        220          5         28      0.113      0.848      0.808      0.828      0.882 
Train:         53     1.1077       3713        845         39         93      0.099      0.705      0.812      0.760      0.841 
All:         53     1.1077       4646       1052         44        121      0.103      0.733      0.813      0.774      0.850 
Test:         54     1.1143        920        220          5         28      0.113      0.848      0.808      0.828      0.883 
Train:         54     1.1143       3711        847         41         91      0.097      0.689      0.811      0.752      0.841 
All:         54     1.1143       4642       1056         48        117      0.100      0.709      0.812      0.762      0.850 
Test:         55     1.1126        921        219          5         28      0.113      0.848      0.809      0.828      0.883 
Train:         55     1.1126       3709        849         43         89      0.095      0.674      0.810      0.744      0.842 
All:         55     1.1126       4642       1056         48        117      0.100      0.709      0.812      0.762      0.850 
